date,state,state_abb,cat_tax,cat_str,rev,year,quarter
Q4-2012,Alabama,AL,T14,T14 Pari-Mutuels Sales Tax,0,2012,4
Q4-2012,Alabama,AL,T15,T15 Public Utilities Sales Tax,184,2012,4
Q4-2012,Alabama,AL,T16,T16 Tobacco Products Sales Tax,29,2012,4
Q4-2012,Alabama,AL,T19,T19 Other Selective Sales and Gross Receipts Taxes,67,2012,4
Q4-2012,Alabama,AL,T20,T20 Alcoholic Beverages License,4,2012,4
Q4-2012,Alabama,AL,T22,T22 Corporations In General License,19,2012,4
Q4-2012,Alabama,AL,T23,T23 Hunting and Fishing License,8,2012,4
Q4-2012,Alabama,AL,T24,T24 Motor Vehicles License,50,2012,4
Q4-2012,Alabama,AL,T25,T25 Motor Vehicle Operators License,5,2012,4
Q4-2012,Alabama,AL,T27,T27 Public Utilities License,4,2012,4
Q4-2012,Alabama,AL,T28,"T28 Occupation and Business License, Not Elsewhere Classified",36,2012,4
Q4-2012,Alabama,AL,T29,T29 Other License Taxes,0,2012,4
Q4-2012,Alabama,AL,T40,T40 Individual Income Taxes,723,2012,4
Q4-2012,Alabama,AL,T41,T41 Corporation Net Income Taxes,68,2012,4
Q4-2012,Alabama,AL,T50,T50 Death and Gift Taxes,0,2012,4
Q4-2012,Alabama,AL,T51,T51 Documentary and Stock Transfer Taxes,8,2012,4
Q4-2012,Alabama,AL,T53,T53 Severance Taxes,28,2012,4
Q4-2012,Alabama,AL,TOTAL,Total Taxes,2178,2012,4
Q1-2013,Alabama,AL,T01,T01 Property Taxes,174,2013,1
Q1-2013,Alabama,AL,T09,T09 General Sales and Gross Receipts Taxes,564,2013,1
Q1-2013,Alabama,AL,T10,T10 Alcoholic Beverages Sales Tax,42,2013,1
Q1-2013,Alabama,AL,T11,T11 Amusements Sales Tax,0,2013,1
Q1-2013,Alabama,AL,T12,T12 Insurance Premiums Sales Tax,53,2013,1
Q1-2013,Alabama,AL,T13,T13 Motor Fuels Sales Tax,128,2013,1
Q1-2013,Alabama,AL,T14,T14 Pari-Mutuels Sales Tax,0,2013,1
Q1-2013,Alabama,AL,T15,T15 Public Utilities Sales Tax,185,2013,1
Q1-2013,Alabama,AL,T16,T16 Tobacco Products Sales Tax,29,2013,1
Q1-2013,Alabama,AL,T19,T19 Other Selective Sales and Gross Receipts Taxes,61,2013,1
Q1-2013,Alabama,AL,T20,T20 Alcoholic Beverages License,0,2013,1
Q1-2013,Alabama,AL,T22,T22 Corporations In General License,68,2013,1
Q1-2013,Alabama,AL,T23,T23 Hunting and Fishing License,4,2013,1
Q1-2013,Alabama,AL,T24,T24 Motor Vehicles License,56,2013,1
Q1-2013,Alabama,AL,T25,T25 Motor Vehicle Operators License,5,2013,1
Q1-2013,Alabama,AL,T27,T27 Public Utilities License,3,2013,1
Q1-2013,Alabama,AL,T28,"T28 Occupation and Business License, Not Elsewhere Classified",30,2013,1
Q1-2013,Alabama,AL,T29,T29 Other License Taxes,0,2013,1
Q1-2013,Alabama,AL,T40,T40 Individual Income Taxes,740,2013,1
Q1-2013,Alabama,AL,T41,T41 Corporation Net Income Taxes,107,2013,1
Q1-2013,Alabama,AL,T50,T50 Death and Gift Taxes,0,2013,1
Q1-2013,Alabama,AL,T51,T51 Documentary and Stock Transfer Taxes,12,2013,1
Q1-2013,Alabama,AL,T53,T53 Severance Taxes,30,2013,1
Q1-2013,Alabama,AL,TOTAL,Total Taxes,2293,2013,1
Q2-2013,Alabama,AL,T01,T01 Property Taxes,17,2013,2
Q2-2013,Alabama,AL,T09,T09 General Sales and Gross Receipts Taxes,603,2013,2
Q2-2013,Alabama,AL,T10,T10 Alcoholic Beverages Sales Tax,43,2013,2
Q2-2013,Alabama,AL,T11,T11 Amusements Sales Tax,0,2013,2
Q2-2013,Alabama,AL,T12,T12 Insurance Premiums Sales Tax,71,2013,2
Q2-2013,Alabama,AL,T13,T13 Motor Fuels Sales Tax,140,2013,2
Q2-2013,Alabama,AL,T14,T14 Pari-Mutuels Sales Tax,0,2013,2
Q2-2013,Alabama,AL,T15,T15 Public Utilities Sales Tax,181,2013,2
Q2-2013,Alabama,AL,T16,T16 Tobacco Products Sales Tax,31,2013,2
Q2-2013,Alabama,AL,T19,T19 Other Selective Sales and Gross Receipts Taxes,70,2013,2
Q2-2013,Alabama,AL,T20,T20 Alcoholic Beverages License,0,2013,2
Q2-2013,Alabama,AL,T21,T21 Amusements License,0,2013,2
Q2-2013,Alabama,AL,T22,T22 Corporations In General License,38,2013,2
Q2-2013,Alabama,AL,T23,T23 Hunting and Fishing License,4,2013,2
Q2-2013,Alabama,AL,T24,T24 Motor Vehicles License,51,2013,2
Q2-2013,Alabama,AL,T25,T25 Motor Vehicle Operators License,5,2013,2
Q2-2013,Alabama,AL,T27,T27 Public Utilities License,4,2013,2
Q2-2013,Alabama,AL,T28,"T28 Occupation and Business License, Not Elsewhere Classified",11,2013,2
Q2-2013,Alabama,AL,T29,T29 Other License Taxes,0,2013,2
Q2-2013,Alabama,AL,T40,T40 Individual Income Taxes,956,2013,2
Q2-2013,Alabama,AL,T41,T41 Corporation Net Income Taxes,146,2013,2
